state,district,candidate,pct,candidate_delegates
Colorado,At-large,bloomberg,0.2052,14
Colorado,At-large,buttigieg,0.0001,0
Colorado,At-large,klobuchar,0.0001,0
Colorado,At-large,sanders,0.3613,23
Colorado,At-large,steyer,0.0041,0
Colorado,At-large,warren,0.1728,13
Colorado,At-large,yang,0.0045,0
Maine,At-large,biden,0.3415,10
Maine,At-large,bloomberg,0.1204,0
Maine,At-large,buttigieg,0.0208,0
Maine,At-large,klobuchar,0.0136,0
Maine,At-large,sanders,0.3289,9
Maine,At-large,steyer,0.0015,0
Maine,At-large,warren,0.1574,5
Maine,At-large,yang,0.0034,0
Massachusetts,At-large,biden,0.3366,34
Massachusetts,At-large,bloomberg,0.1177,0
Massachusetts,At-large,buttigieg,0.0266,0
Massachusetts,At-large,klobuchar,0.0121,0
Massachusetts,At-large,sanders,0.267,31
Massachusetts,At-large,steyer,0.0048,0
Massachusetts,At-large,warren,0.2144,26
Massachusetts,At-large,yang,0.0019,0
Minnesota,At-large,biden,0.3864,38
Minnesota,At-large,bloomberg,0.0832,0
Minnesota,At-large,buttigieg,0.0102,0
Minnesota,At-large,klobuchar,0.0558,0
Minnesota,At-large,sanders,0.2989,27
Minnesota,At-large,steyer,0.0007,0
Minnesota,At-large,warren,0.1541,10
Minnesota,At-large,yang,0.0024,0
North Carolina,At-large,biden,0.43,67
North Carolina,At-large,bloomberg,0.1298,3
North Carolina,At-large,buttigieg,0.0328,0
North Carolina,At-large,klobuchar,0.0232,0
North Carolina,At-large,sanders,0.2411,38
North Carolina,At-large,steyer,0.0081,0
North Carolina,At-large,warren,0.1048,2
North Carolina,At-large,yang,0.0023,0
Oklahoma,At-large,biden,0.3867,21
Oklahoma,At-large,bloomberg,0.1388,2
Oklahoma,At-large,buttigieg,0.0168,0
Oklahoma,At-large,klobuchar,0.0222,0
Oklahoma,At-large,sanders,0.2544,13
Oklahoma,At-large,steyer,0.0066,0
Oklahoma,At-large,warren,0.1339,1
Oklahoma,At-large,yang,0.0066,0
Tennessee,At-large,biden,0.4169,33
Tennessee,At-large,bloomberg,0.1546,10
Tennessee,At-large,buttigieg,0.0331,0
Tennessee,At-large,klobuchar,0.0206,0
Tennessee,At-large,sanders,0.2497,20
Tennessee,At-large,steyer,0.0039,0
Tennessee,At-large,warren,0.104,1
Tennessee,At-large,yang,0.0021,0
Texas,At-large,biden,0.3448,111
Texas,At-large,bloomberg,0.1439,10
Texas,At-large,buttigieg,0.0396,0
Texas,At-large,klobuchar,0.0207,0
Texas,At-large,sanders,0.2997,102
Texas,At-large,steyer,0.0066,0
Texas,At-large,warren,0.1142,5
Texas,At-large,yang,0.0032,0
Utah,At-large,biden,0.1741,6
Utah,At-large,bloomberg,0.1674,6
Utah,At-large,buttigieg,0.0977,0
Utah,At-large,klobuchar,0.0388,0
Utah,At-large,sanders,0.3461,13
Utah,At-large,steyer,0.0037,0
Utah,At-large,warren,0.1555,4
Utah,At-large,yang,0.0045,0
Vermont,At-large,biden,0.2199,5
Vermont,At-large,bloomberg,0.094,0
Vermont,At-large,buttigieg,0.0235,0
Vermont,At-large,klobuchar,0.0137,0
Vermont,At-large,sanders,0.507,11
Vermont,At-large,steyer,0.0013,0
Vermont,At-large,warren,0.1256,0
Vermont,At-large,yang,0.0037,0
Virginia,At-large,biden,0.5331,67
Virginia,At-large,bloomberg,0.0967,0
Virginia,At-large,buttigieg,0.0085,0
Virginia,At-large,klobuchar,0.0064,0
Virginia,At-large,sanders,0.2314,31
Virginia,At-large,steyer,0.0011,0
Virginia,At-large,warren,0.1077,1
Virginia,At-large,yang,0.0025,0
Idaho,At-large,biden,0.4885,11
Idaho,At-large,bloomberg,0.0239,0
Idaho,At-large,buttigieg,0.013,0
Idaho,At-large,klobuchar,0.0071,0
Idaho,At-large,sanders,0.4252,9
Idaho,At-large,steyer,0.0011,0
Idaho,At-large,warren,0.0265,0
Idaho,At-large,yang,0.0027,0
Michigan,At-large,biden,0.529,70
Michigan,At-large,bloomberg,0.0462,0
Michigan,At-large,buttigieg,0.0141,0
Michigan,At-large,klobuchar,0.0069,0
Michigan,At-large,sanders,0.3638,55
Michigan,At-large,steyer,0.0011,0
Michigan,At-large,warren,0.0164,0
Michigan,At-large,yang,0.0015,0
Mississippi,At-large,biden,0.8108,34
Mississippi,At-large,bloomberg,0.0246,0
Mississippi,At-large,buttigieg,0.002,0
Mississippi,At-large,klobuchar,0.0015,0
Mississippi,At-large,sanders,0.1482,2
Mississippi,At-large,steyer,0.0013,0
Mississippi,At-large,warren,0.0053,0
Mississippi,At-large,yang,0.0016,0
Missouri,At-large,biden,0.6014,44
Missouri,At-large,bloomberg,0.0149,0
Missouri,At-large,buttigieg,0.005,0
Missouri,At-large,klobuchar,0.004,0
Missouri,At-large,sanders,0.3455,24
Missouri,At-large,steyer,0.0009,0
Missouri,At-large,warren,0.0122,0
Missouri,At-large,yang,0.0014,0
North Dakota,At-large,biden,0.399,6
North Dakota,At-large,bloomberg,0.0075,0
North Dakota,At-large,buttigieg,0.0104,0
North Dakota,At-large,klobuchar,0.0145,0
North Dakota,At-large,sanders,0.5332,8
North Dakota,At-large,steyer,0.0001,0
North Dakota,At-large,warren,0.0265,0
North Dakota,At-large,yang,0.0023,0
Washington,At-large,biden,0.3505,47
Washington,At-large,bloomberg,0.0989,0
Washington,At-large,buttigieg,0.0519,0
Washington,At-large,klobuchar,0.0273,0
Washington,At-large,sanders,0.3365,42
Washington,At-large,steyer,0.0027,0
Washington,At-large,warren,0.1116,0
Washington,At-large,yang,0.0045,0
